"customer_state","total_customers","churned_customers","churn_rate_pct","churned_revenue"
"SP","39148","30572","78.09","4826039.63"
"RJ","11917","9802","82.25","1814747.72"
"MG","11001","8957","81.42","1553820.18"
"RS","5167","4266","82.56","744454.98"
"PR","4769","3826","80.23","662662.13"
"SC","3449","2851","82.66","504803.51"
"BA","3158","2560","81.06","503086.16"
"DF","2019","1567","77.61","285489.09"
"GO","1895","1564","82.53","282425.03"
"ES","1928","1579","81.90","262020.45"
"PE","1551","1237","79.75","251054.05"
"CE","1258","1046","83.15","221433.77"
"PA","922","768","83.30","179414.54"
"MT","856","711","83.06","157913.30"
"MA","700","589","84.14","132844.72"
